track,or_number,status,title,abstract,primary_area,secondary_area
Extended_Abstracts,13,pending,A resource of encoding models for in silico neuroscience,"_In silico_ neural responses to sensory stimuli generated by encoding models increasingly resemble _in vivo_ responses from real brains, enabling the novel research paradigm of in silico neuroscience. Within this paradigm, experimentation is carried out on massive amounts of in silico neural responses, empowering broader hypothesis testing and exploration than is possible from in vivo data, which is expensive and time consuming to collect. To catalyze in silico neuroscience, we introduce the Brain Encoding Response Generator (BERG), a resource of multiple pre-trained encoding models of the brain and a Python package to easily generate in silico neural responses to arbitrary stimuli. We show that BERG’s encoding models accurately predict neural responses to visual stimuli, and that these in silico responses capture key spatial and temporal organizing principles of visual processing in the brain. Together, this opens the doors to using in silico neural responses for brain research, which we envision will speed up neuroscientific discovery.",computational cognitive science / cognitive modeling,
Extended_Abstracts,14,pending,Start simple: the benefit of shaping in learning under different cognitive loads,"Shaping facilitates complex skill acquisition by decomposing tasks into simpler sub-components. One prominent hypothesis attributes its efficiency to reduced cognitive load, but empirical evidence on how task demand influences the utility of shaping remains limited. This study examined whether shaping enhances learning efficiency and whether its benefits increase with cognitive load. Results showed that shaping promoted the retention of sub-component representations. Contrary to our prediction, we found no increasing effect of load on shaping benefits. Instead, we observed a weak effect at set size 4 but not at set size 6. Computational modeling suggests that this pattern may reflect the adoption of “self-shaping” strategies by participants in the non-shaping group under high cognitive load, thereby attenuating performance differences between groups. These findings highlight the importance of considering individual learning strategies
When evaluating the relative effectiveness of shaping and non-shaping training protocols.",computational cognitive science / cognitive modeling,artificial intelligence / machine learning+psychological / behavioral research
Extended_Abstracts,15,pending,Changes in visual objectives explain differences in cue weighting across development: Simulations with neural network models,"From a continuous visual landscape humans can extract individual, identifiable objects. What visual cues support this ability and how do they develop? Prior work has shown that when looking at a visual scene infants prioritize the spatial properties of objects, such as their locations, while preschoolers prioritize the featural properties of objects, such as their color or shape. We hypothesized that this developmental shift in cue weighting is driven by a transition from individuating objects, for which spatial cues are more informative, to identifying objects, for which featural cues are more informative. To test this hypothesis, we trained convolutional neural network (CNNs) models to either individuate objects or identify them, and then we tested those models on the same cue weighting task given to children. Like infants, the individuation-trained model showed stronger spatial weighting, whereas, like preschoolers, the identification-trained model showed stronger featural weighting. These results suggest that different visual objectives across development may lead to differences in how visual information is extracted and weighted when looking at objects.",computational cognitive science / cognitive modeling,artificial intelligence / machine learning+psychological / behavioral research+experimental neuroscience (systems / cognitive)
Extended_Abstracts,16,pending,A Nonlocal Variational Framework for Optimal Neural Representations,"Despite decades of study it still remains unclear how neural populations should organize their representation of sensory, motor, and cognitive variables so as to optimize discriminability. There are two important limitations in previous works. First, Fisher information (FI) is commonly used to measure the quality of population codes (Seung and Sompolinsky, 1993), yet FI is fundamentally a local measure that is incapable of capturing global structures of the representation, as is needed in coarse discrimination (Berens et al., 2011). Second, simplified forms of tuning functions (such as Gaussian bumps) are usually imposed for analytic tractability, but in real neural data, tuning curves are diverse and in most cases defy being described by an overly simplistic structure. Here, we tackle these issues by focusing on the representation of a one-dimensional periodic variable $\theta$ and analytically minimizing the average binary classification error between all $\theta$ pairs without any restriction on the shape of the tuning curves for various noise models. Our cost function accounts for both fine and coarse discrimination and the feasible set is an infinite-dimensional function space, making our formulation a nonlocal variational problem. We obtained the solution by viewing the space of neural response distributions as a Riemannian manifold in the sense of information geometry (Amari, 2016) and using a result from knot energy theory (Abrams et al., 2003). The optimality of the derived representation is demonstrated with simulations. We deduce two predictions from the model, one concerning the range of tuning curve shapes and the other relating neurons' variability to their tuning sharpness. Both of these predictions are verified in a head-direction cell dataset (Duszkiewicz et al., 2024). Our results point to a new framework for studying the global structure of neural representations.",theoretical / computational neuroscience,
Extended_Abstracts,18,pending,Representational drift dominates cross-session decoder degradation in mouse primary visual cortex,"Primary visual cortex (V1) carries rich stimulus representations, yet mice often
fail to fully exploit this information during behavior. What constrains the
translation from neural representation to behavioral readout? Using the Allen
Institute Visual Behavior Two-Photon dataset (32 mice, 204 sessions, Slc17a7-Cre
line, GCaMP6f), we trained five decoder architectures (logistic regression,
multilayer perceptrons, and a temporal convolutional network) to classify eight
natural images from V1 population activity. Intra-session decoding achieved a
median accuracy of 85.2\% (chance: 12.5\%), with logistic regression matching
nonlinear models in over 50\% of sessions, indicating that V1 representations
are largely linearly separable. Surprisingly, decoder accuracy was negatively
correlated with mouse behavioral performance (hit rate: $\rho = -0.295$,
$p < 0.001$, controlling for population size), and arousal proxies (pupil area,
running speed) did not predict decoding accuracy ($\Delta R^2 = 0.004$,
$p = 0.80$). To investigate temporal constraints on readout, we developed a
decomposition framework that isolates three sources of cross-session accuracy
loss: neuron loss from imperfect tracking, representational drift, and
gain/scale shifts. Across 241 session pairs, representational drift accounted
for 59.5\% of the total accuracy drop ($\sim$19 percentage points), compared to
31.6\% for neuron loss and 8.9\% for gain shifts. Drift was significantly greater
for novel than familiar stimuli ($p < 10^{-8}$), scaled with inter-session
interval ($\rho = 0.258$), and was pair-specific rather than a stable mouse
trait (ICC $= 0.287$). These results suggest that representational drift, rather
than arousal-gated processing or limited neural information, poses the primary
challenge for stable downstream readout from V1.",experimental neuroscience (systems / cognitive),theoretical / computational neuroscience
Extended_Abstracts,19,pending,Continuous Attractor Neural Networks Toolkit: Standardizing Computational Neuroscience Research on Attractor Dynamics,"Continuous attractor neural networks (CANNs) are a canonical computational model for how the brain encodes continuous variables such as spatial position, head direction, and moving direction. They successfully explain key phenomena in hippocampal place cells,
entorhinal grid cells, and head direction systems. Despite their importance, CANN research suffers from fragmentation: researchers
implement models from scratch, use incompatible codebases, and face significant reproducibility barriers.

We present a unified Python toolkit for CANN research built on BrainPy and JAX, providing standardized implementations, analysis pipelines, and reproducible experimental workflows. The toolkit includes: (1) a model library covering mathematically tractable 1D/2D CANNs, spike-frequency adaptation (SFA) augmented models, and grid cell networks; (2) task generators for smooth tracking, population coding, and open/closed-loop navigation; (3) an analyzer suite with energy landscape visualization, tuning curve analysis, and topological data analysis (TDA) for characterizing attractor geometry; and (4) the Attractor Structure Analyzer (ASA) pipeline---a GUI/TUI tool for applying TDA-based methods to experimental neural recordings to detect attractor signatures.

The toolkit reproduces key published results including SFA-driven anticipative tracking dynamics and theta-sweep phenomena in head
direction and place cell systems, providing trusted baselines for new modeling studies. High-performance computation is achieved via JAX JIT compilation with GPU/TPU support and optional Rust-accelerated backends for performance-critical routines.

By standardizing the CANN research workflow, analogous to how Hugging Face Transformers unified NLP research, this toolkit lowers barriers for computational neuroscientists, AI researchers, and students, and enables direct comparison of alternative mechanisms under shared experimental setups. We demonstrate the toolkit's capabilities through simulations of canonical attractor phenomena and analysis of spatial navigation dynamics.",theoretical / computational neuroscience,artificial intelligence / machine learning+experimental neuroscience (systems / cognitive)
Extended_Abstracts,20,pending,Domian-Specific Stimulus Coding and Domain-General Confidence Signals Across Cognitive Tasks,"How the brain transforms uncertainty into subjective confidence is a central question in metacognition. Confidence depends on at least two sources of information: stimulus uncertainty, reflecting the reliability of stimulus evidence, and decision uncertainty, reflecting how close an internal representation is to a choice boundary. Yet it remains unclear whether these cues are processed by shared neural systems across tasks or by task-specific mechanisms. Using fMRI, we examined three tasks—random dot motion, visual short-term memory, and numerical comparison—that independently manipulated these two uncertainty sources. Across tasks, confidence showed a similar interaction between stimulus and decision uncertainty, indicating a common pattern of cue integration. fMRI results further revealed task-specific effects of stimulus uncertainty, whereas decision uncertainty and interaction-related contrasts showed shared activations across tasks. These findings suggest domain-specific coding of stimulus uncertainty but domain-general networks for confidence evaluation and uncertainty-related action control.",experimental neuroscience (systems / cognitive),computational cognitive science / cognitive modeling
Extended_Abstracts,21,pending,The impact of noise on memorability in minds and machines,"Recent evidence suggests that image memorability, the intrinsic likelihood that an image will be remembered, relates to the processing efficiency of the image.  One unknown impact is the effect of introducing noise into this process.  By comparing a variety of memorability prediction models against human performance on a memory task with differing noise levels, I found a striking difference between the impact of noise on each: noise degrades memorability in humans but enhances it in machines, but only for low memorability images.  In contrast, high memorability images are resistant to noise in humans, but degraded in machines.   I present here a new memorability model that incorporates inter-image differences, is robust against noise, and more closely matches human performance.",computational cognitive science / cognitive modeling,artificial intelligence / machine learning
Extended_Abstracts,22,pending,"Temporal Dynamics of Spatial Frequencies in Visual Word, Object, and Place Recognition","It is widely believed that, in visual recognition, low spatial frequencies (SFs) are processed first, then followed by higher SFs. This view is known as the coarse-to-fine theory (Barr, 2003). We studied the temporal dynamics of spatial frequency (SF) processing in visual recognition in three experiments involving word (Exp.1), object (Exp.2) and place (Exp.3) recognition in normal adult observers. The target stimuli were made of an additive combination of the signal (target image) and of a visual white noise patch wherein the signal-to-noise ratio (SNR) varied randomly across stimulus duration. Four SF conditions were defined, with center frequencies of 1.2, 2.4, 4.8 and 9.6 cycles per degree. The results indicate a complex, non-sequential pattern of SF processing which varies across stimulus classes. In Exp.1 (words), the highest SF range dominates early processing, with a shift toward lower SFs later on. In Exp.2 (objects), initial processing was dominated by the 4.8 cpd band, followed briefly by 9.6 cpd, then 1.2 cpd, and finally 2.4 cpd. In Exp.3 (places), processing was dominated first by the 2.4 cpd band, followed by 9.6 cpd and 4.8 cpd bands. These findings challenge the coarse-to-fine theory and show that SF processing order varies across object categories. In each experiment, a machine learning algorithm successfully classified (with >90% accuracy) individual data patterns according to SF condition. This means that SF bands are processed by mechanisms that are dissociable based on their temporal features.",psychological / behavioral research,experimental neuroscience (systems / cognitive)
Extended_Abstracts,23,pending,Representational Geometry Reflects the Dynamics of Experience: Evidence from Relational Learning of Emotion Concepts,"Knowledge about emotional events is organized in a low-dimensional affective space defined by valence and arousal dimensions. The geometry of this space varies systematically, with differentiation of similarly valenced emotions emerging across development. Here, we test the hypothesis that distortions in representational geometry arise from variation in the transition statistics of emotional experiences. Using the Tolman-Eichenbaum Machine, a computational model of relational learning, we simulated agents exposed to identical environments but differing in transition dynamics. Comparing model-derived representations of emotion concepts to human similarity judgements from an archival dataset ($\textit{n}$ = 92), we find that representations learned under reduced sampling of the arousal dimension better capture young participants’ judgements, whereas uniform sampling better captures older participants behavior. These findings suggest that transition statistics may play an important role in shaping how the brain organizes emotion knowledge to enable flexible behavior in complex environments.",computational cognitive science / cognitive modeling,psychological / behavioral research+theoretical / computational neuroscience
Extended_Abstracts,24,pending,Behavioral and neural correlates of conflict prediction,"Humans proactively adjust cognitive control by predicting the likelihood of conflict from past experience. However, the behavioral and neural signatures of such predictions remain incompletely understood. Here, we analyze a large EEG dataset (n = 1000) from a flanker task to characterize trial-by-trial conflict prediction using a reinforcement-learning model. Higher predicted conflict was associated with improved performance on incongruent trials, reflected in increased accuracy and longer reaction times, suggesting increased response caution. These effects were accompanied by enhanced pre-stimulus midfrontal theta-to-beta activity, consistent with proactive control engagement. Together, these findings provide converging behavioral and neural evidence that humans anticipate control demands and adjust behavior accordingly.",computational cognitive science / cognitive modeling,psychological / behavioral research+experimental neuroscience (systems / cognitive)
Extended_Abstracts,25,pending,Classification of Strategies in Reversal Learning Tasks Using a Mixture Model,"People employ different strategies for continuous environmental learning, and in the presented study we developed a computational model to disentangle these on the single-subject level. Simulations confirmed the model could correctly identify the generative strategy, though refinement is needed for a more flexible fitting procedure. Initial fitting of a constrained version to choice data showed promising results, identifying different behavioral strategies across participants. Future work will refine the model and examine how these strategies are expressed on the neural level using 7T fMRI.",computational cognitive science / cognitive modeling,psychological / behavioral research+experimental neuroscience (systems / cognitive)
Extended_Abstracts,26,pending,A model-based alternative to cluster-based permutation tests for the analysis of time-resolved data,"A central analytic goal in cognitive neuroscience is to determine whether, when, and where neural responses differ across conditions or groups. The standard solution relies on mass-univariate testing with multiple-comparison correction, often through cluster-based permutation methods. Although these methods control error rates effectively, they do not support precise inference about the onset or offset of an effect because inference is made at the cluster level rather than at individual time points. We introduce a model-based alternative based on Bayesian generalised additive multilevel models (BGAMMs), which estimate smooth time-resolved effects while accounting for temporal dependencies and between-participant variability. The method yields posterior odds that an effect is above zero (or above chance) at each time point, enabling direct probabilistic statements about temporal localisation. We benchmarked the approach on simulated EEG data with known ground-truth onset and offset and compared it against raw mass-univariate tests, FDR and FWER corrections, cluster-based permutation tests, threshold-free cluster enhancement, and changepoint detection. Across 10,000 simulated datasets, the BGAMM approach showed the lowest bias and error for both onset and offset estimation. We then applied the method to empirical MEG decoding time courses and evaluated stability across many split-half subsets of participants. The proposed approach produced interpretable clusters and highly stable temporal estimates, while standard methods were either overly lenient or less precise. These results suggest that Bayesian additive multilevel modelling provides a practical and more temporally precise alternative to cluster-based inference for analysing time-resolved data. To facilitate adoption, we implemented the method in an open-source R package; repository details are omitted for double-blind review and will be provided upon acceptance.",computational cognitive science / cognitive modeling,
Extended_Abstracts,27,pending,Intra- and Inter-Regional Neural Excitation Model Identifies Age-Related Effects,"Biophysical models have enabled the investigation of excitatory and inhibitory neural interactions in silico. However, understanding how local and long-range neural interactions jointly shape large-scale brain dynamics remains a major challenge because existing models cannot estimate the relative contributions of intra- and inter-regional excitation. Here, we introduce a new metric, the recursive-ratio (R-ratio), which quantifies the balance between local (i.e., intra-regional) and long-range (i.e., inter-regional) excitatory contributions. We found that the R-ratio exhibits a systematic spatial gradient along the cortical hierarchy, with lower values in sensory regions and higher values in association regions. In older adults, the R-ratio increased with age and showed a significant positive association with the amyloid standardized uptake value ratio. These findings suggest that the balance between intra- and inter-regional excitation provides a more interpretable framework for understanding large-scale brain dynamics, thereby revealing biologically plausible age-related effects.",theoretical / computational neuroscience,computational cognitive science / cognitive modeling
Extended_Abstracts,28,pending,Perceptual Consciousness Facilitates Model-based Decision Making,"Flexible behaviour requires prospective evaluations of actions and their potential outcomes. On some theoretical accounts, perceptual consciousness evolved to support such flexibility by enabling the integration of perceptual information during action planning. In parallel, computational research in reinforcement learning distinguishes between two decision making strategies: model-based control that relies on internal representations of environmental structure, and model-free control that depends on stimulus–reward associations. Although these frameworks have been widely used to characterise decision making, the role of consciousness in enabling model-based control remains untested. We tested this using a modified two-step reinforcement learning paradigm in which cues signalling the transition structure were presented either above or near perceptual threshold. We found that model-based patterns of decision making emerged when the structural cue was consciously accessible, whereas behaviour was more consistent with model-free strategies when the cue was near perceptual threshold. This suggests that conscious perception of environmental structure facilitates model-based decision making, supporting functional accounts that link perceptual consciousness to flexible, goal-directed control of behaviour.",computational cognitive science / cognitive modeling,psychological / behavioral research
Extended_Abstracts,29,pending,LLMs Lack Dissociable Planning Failures Observable in Humans and Deep RL on Tower of Hanoi,"Planning is thought to rely on coordinated, brain-wide computations that generate and execute action sequences under environmental constraints (Goel & Grafman, 1995; Grafman et al., 1992; Schmahmann & Sherman, 1997). Experimental studies have identified key contributions from regions such as the prefrontal cortex (PFC) and cerebellum. We propose that modular deep reinforcement learning (RL) agents capable of solving human-level planning tasks can provide a framework for understanding how different brain regions contribute to planning. We employ MuZero and the Tower of Hanoi (ToH) task to investigate the roles of distinct neural systems in goal-directed planning and behaviour. By performing targeted network ablations, we show that ablation of the MuZero value network reproduces behavioural patterns observed in patients with PFC damage, whereas ablation of the MuZero policy network mirrors deficits associated with cerebellar  atrophy (CA). In contrast, we show that LLMs capture PFC deficits, but fail to capture cerebellar-like deficits.",psychological / behavioral research,computational cognitive science / cognitive modeling+theoretical / computational neuroscience
Extended_Abstracts,30,pending,Driving in the scanner: a versatile platform for studying naturalistic human spatial navigation,"How the human brain orchestrates the continuous perception-cognition-action loop that underpins real-world navigation constitutes a key question in neuroscience. Typical neuroimaging experiment designs make it difficult to compare results across experiments and to assess the ecological validity of findings. To address these challenges, we built a naturalistic driving simulator for fMRI and applied voxelwise encoding models to the resulting data across several studies. Results reveal the broad cortical network that mediates active, naturalistic navigation, widespread task-related visual semantic tuning shifts across the cerebral cortex, and the relative contribution of many navigation-related representations in the same setting. These studies demonstrate that naturalistic experiments combined with voxelwise encoding models provide a versatile neuroimaging platform to study the human brain systems mediating naturalistic behavior.",experimental neuroscience (systems / cognitive),computational cognitive science / cognitive modeling
Extended_Abstracts,31,pending,A Computational Signature of Self-Monitoring in Perceptual Confidence,"Perceptual confidence is typically modeled as a direct readout of stimulus uncertainty and decision evidence, but it remains unclear whether confidence evaluations also incorporate higher-order monitoring of one's own decisional tendencies. Here, we tested whether category-specific response bias influences confidence. In Experiment 1, participants performed noisy 4-choice and 8-choice digit-classification tasks. Although response bias positively predicted confidence in simple regression analyses, this relationship reliably reversed after controlling for accuracy and reaction time (RT): systematically over-selected categories received lower confidence. In Experiment 2, leveraging an independent 8-choice dataset with varying task demands, this negative conditional correlation replicated under accuracy-focus conditions but was strongly reduced under speed-focus, indicating a deliberative, resource-dependent process. Standard artificial neural networks (ANNs) failed to exhibit this human-like signature, instead displaying persistent overconfidence in biased categories. However, augmenting these networks with a simple metacognitive module, which tracked historical over-selection and selectively penalized confidence readouts, successfully restored the human-like reversal. Together, these findings reveal that human confidence relies not merely on feedforward perceptual evidence, but also on the active self-monitoring of endogenous response tendencies.",computational cognitive science / cognitive modeling,artificial intelligence / machine learning+computational cognitive science / cognitive modeling+psychological / behavioral research
Extended_Abstracts,32,pending,Determinants of relative value coding in artificial and biological networks,"Value is a fundamental variable in decision-making, integrating potential cost and benefit information into a unitary quantity to guide the selection process. While rational choice theory assumes that options are assigned absolute values, independent of other available alternatives, biological decision processes often rely on comparative evaluation and decision-related brain circuits employ a relative rather than absolute value code. While relative value coding is widely observed, it is unknown why such coding arises and what function it serves. Here, we examine what environmental and internal factors drive relative reward coding in deep neural networks trained in economic decision tasks. We find that relative value coding: (1) arises naturally in deep networks, (2) decreases when coding capacity (layer size, network depth) is expanded, and (3) increases when inputs exhibit more statistical structure (correlated variability). Furthermore, the degree of relative value coding is modulated by both internal and external noise. Together, these findings suggest that relative valuation reflects an efficient coding process, optimizing network performance under information processing constraints.",theoretical / computational neuroscience,experimental neuroscience (systems / cognitive)
